sample	bin_id	mean	relative_abndunce	RPKM
MTS-001	unmapped	NA	5.431092	NA
MTS-001	MTS-010_bin.12.strict	16.835394	0.60308325	1.5266589
MTS-001	MTS-010_bin.11.orig	0.92664546	0.033194616	0.07573547
MTS-001	MTS-010_bin.16.orig	155.9605	5.5868707	12.2868
MTS-001	MTS-110_bin.3.permissive	1.1646668	0.041721094	0.10271901
MTS-001	MTS-001_bin.5.orig	44.852287	1.6067141	3.5277221
MTS-001	MTS-001_bin.6.orig	424.25284	15.197732	33.30847
MTS-001	MTS-090_bin.4.strict	0	0	0
MTS-001	MTS-060_bin.2.permissive	11.604379	0.41569608	1.0608821
MTS-001	MTS-001_bin.16.orig	137.92421	4.9407687	10.877598
MTS-001	MTS-040_bin.3.orig	38.19339	1.3681767	3.03116
MTS-001	MTS-001_bin.11.strict	61.902443	2.2174907	4.8785887
MTS-001	MTS-001_bin.9.orig	27.4103	0.9819012	2.1551857
MTS-001	MTS-100_bin.2.strict	0	0	0
MTS-001	MTS-010_bin.15.orig	15.145492	0.54254705	1.1899089
MTS-001	MTS-001_bin.20.orig	92.87885	3.3271384	7.3940296
MTS-001	MTS-001_bin.7.orig	79.69062	2.8547049	6.267011
MTS-001	MTS-090_bin.1.strict	9.6728325	0.34650353	0.7686323
MTS-001	MTS-090_bin.2.orig	0	0	0
MTS-001	MTS-010_bin.1.orig	326.06107	11.680271	25.68183
MTS-001	MTS-010_bin.5.strict	1.6348261	0.058563307	0.1294216
MTS-001	MTS-001_bin.13.orig	42.067696	1.5069635	3.3249462
MTS-001	MTS-010_bin.9.strict	160.38258	5.7452803	12.661581
MTS-001	MTS-001_bin.19.orig	6.9562216	0.24918817	0.55514413
MTS-001	MTS-001_bin.18.strict	18.068817	0.6472674	1.4306618
MTS-001	MTS-020_bin.11.strict	0.41709283	0.014941243	0.036852244
MTS-001	MTS-020_bin.6.strict	70.04338	2.509118	5.5429025
MTS-001	MTS-001_bin.4.permissive	44.68599	1.6007568	3.5386608
MTS-001	MTS-090_bin.7.strict	0	0	0
MTS-001	MTS-001_bin.10.orig	58.792484	2.1060846	4.6587186
MTS-001	MTS-001_bin.21.strict	10.016511	0.35881492	0.79257154
MTS-001	MTS-010_bin.10.strict	0.25138515	0.009005206	0.023837965
MTS-001	MTS-010_bin.8.permissive	782.14905	28.018414	61.65484
MTS-010	unmapped	NA	6.629288	NA
MTS-010	MTS-010_bin.12.strict	885.81323	30.67597	79.85329
MTS-010	MTS-010_bin.11.orig	17.682747	0.61235875	1.6119663
MTS-010	MTS-010_bin.16.orig	48.089066	1.6653385	4.3554616
MTS-010	MTS-110_bin.3.permissive	0.6168173	0.021360565	0.06665167
MTS-010	MTS-001_bin.5.orig	5.0114455	0.17354783	0.4561117
MTS-010	MTS-001_bin.6.orig	46.69787	1.6171609	4.22252
MTS-010	MTS-090_bin.4.strict	0	0	0
MTS-010	MTS-060_bin.2.permissive	627.20056	21.72014	57.023537
MTS-010	MTS-001_bin.16.orig	74.91917	2.5944726	6.7981715
MTS-010	MTS-040_bin.3.orig	59.972286	2.0768578	5.456575
MTS-010	MTS-001_bin.11.strict	260.0362	9.005129	23.534756
MTS-010	MTS-001_bin.9.orig	6.4132094	0.22209133	0.5827115
MTS-010	MTS-100_bin.2.strict	0	0	0
MTS-010	MTS-010_bin.15.orig	109.30499	3.7852638	9.865325
MTS-010	MTS-001_bin.20.orig	6.198643	0.21466084	0.57487386
MTS-010	MTS-001_bin.7.orig	12.458733	0.4314496	1.130749
MTS-010	MTS-090_bin.1.strict	3.94036	0.13645582	0.36961892
MTS-010	MTS-090_bin.2.orig	0	0	0
MTS-010	MTS-010_bin.1.orig	22.214697	0.7693015	2.0352178
MTS-010	MTS-010_bin.5.strict	15.559228	0.5388206	1.4098797
MTS-010	MTS-001_bin.13.orig	10.437865	0.36146635	0.9629338
MTS-010	MTS-010_bin.9.strict	69.30406	2.4000201	6.296723
MTS-010	MTS-001_bin.19.orig	2.726658	0.09442497	0.2484105
MTS-010	MTS-001_bin.18.strict	1.0509248	0.036393832	0.09722626
MTS-010	MTS-020_bin.11.strict	26.173313	0.9063895	2.3827095
MTS-010	MTS-020_bin.6.strict	18.67977	0.64688593	1.7014871
MTS-010	MTS-001_bin.4.permissive	28.834084	0.99853283	2.627148
MTS-010	MTS-090_bin.7.strict	0	0	0
MTS-010	MTS-001_bin.10.orig	6.07439	0.21035789	0.55878145
