letter,group,description
J,information_storage_and_processing,"Translation,_ribosomal_structure_and_biogenesis"
A,information_storage_and_processing,Transcription
K,information_storage_and_processing,Transcription
L,information_storage_and_processing,"Replication,_recombination_and_repair"
B,information_storage_and_processing,Chromatin_structure_and_dynamics
d,Cellular_processes_and_signaling,"Cell_cycle_control,_cell_division,_chromosome_partitioning"
Y,Cellular_processes_and_signaling,Nuclear_structure
V,Cellular_processes_and_signaling,Defense_mechanisms
T,Cellular_processes_and_signaling,Signal_transduction_mechanisms
M,Cellular_processes_and_signaling,Cell_wall/membrane/envelope_biogenesis
N,Cellular_processes_and_signaling,Cell_motility
Z,Cellular_processes_and_signaling,Cytoskeleton
W,Cellular_processes_and_signaling,Extracellular_structures
U,Cellular_processes_and_signaling,"Intracellular_trafficking,_secretion,_and_vesicular_transport"
O,Cellular_processes_and_signaling,"Posttranslational_modification,_protein_turnover,_chaperones"
C,Metabolism,Energy_production_and_conversion
G,Metabolism,Carbohydrate_transport_and_metabolism
E,Metabolism,Amino_acid_transport_and_metabolism
F,Metabolism,Nucleotide_transport_and_metabolism
H,Metabolism,Coenzyme_transport_and_metabolism
I,Metabolism,Lipid_transport_and_metabolism
P,Metabolism,Inorganic_ion_transport_and_metabolism
Q,Metabolism,"Secondary_metabolites_biosynthesis,_transport_and_catabolism"
R,Poorly_characterized,General_function_prediction_only
S,Poorly_characterized,Function_unknown
