sample	bin_id	represent	id	Kingdom	Phylum	Class	Order	Family	Genus	Species	completeness	contamination	strain_heterogeneity	genome_size	N50_contig	GC.content	coding_density	predicted_genes
MTS-001	MTS-001_bin.1	MTS-010_bin.16	MTS-010_bin.016	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duganella		98.8	0.13	0	5460884	203986	62.6	91.78	4865
MTS-001	MTS-001_bin.10	MTS-001_bin.10	MTS-001_bin.010	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		99.09	3.29	13.33	5636625	102237	64.3	90.31	4976
MTS-001	MTS-001_bin.11	MTS-001_bin.11	MTS-001_bin.011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			99.38	0	0	3951389	232086	62.6	91.44	3661
MTS-001	MTS-001_bin.12	MTS-010_bin.1	MTS-010_bin.001	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae			99.57	0.43	0	4498967	155077	52.1	85.32	4094
MTS-001	MTS-001_bin.13	MTS-001_bin.13	MTS-001_bin.013	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		98.86	0.69	20	4198163	51824	62.4	89.89	3913
MTS-001	MTS-001_bin.14	MTS-010_bin.8	MTS-010_bin.008	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus_A	Lactococcus_A raffinolactis	98.11	1.35	14.29	2361258	126171	39.7	87.97	2320
MTS-001	MTS-001_bin.15	MTS-040_bin.3	MTS-040_bin.003	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mangrovibacter		99.56	0.27	0	5096756	266055	52.4	88.07	4826
MTS-001	MTS-001_bin.16	MTS-001_bin.16	MTS-001_bin.016	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duganella	Duganella sp003217375	99.92	1.19	16.67	6479266	214191	62.6	92.81	5830
MTS-001	MTS-001_bin.17	MTS-090_bin.1	MTS-090_bin.001	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Hydrotalea		93.35	0	0	2597841	10331	38.6	87.74	2252
MTS-001	MTS-001_bin.18	MTS-001_bin.18	MTS-001_bin.018	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum		84.16	0.74	0	3632523	16590	54.3	89.11	3567
MTS-001	MTS-001_bin.19	MTS-001_bin.19	MTS-001_bin.019	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax		96.25	1.12	25	3077095	25070	57	93.48	3084
MTS-001	MTS-001_bin.2	MTS-010_bin.9	MTS-010_bin.009	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Uliginosibacterium		99.38	0.96	0	5076041	628918	57	89.43	4716
MTS-001	MTS-001_bin.20	MTS-001_bin.20	MTS-001_bin.020	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila	98.88	0.29	100	5006854	281653	61.1	87.34	4561
MTS-001	MTS-001_bin.21	MTS-001_bin.21	MTS-001_bin.021	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Uliginosibacterium		87.71	3.73	3.85	4570696	9335	58.4	87.36	4787
MTS-001	MTS-001_bin.3	MTS-020_bin.6	MTS-020_bin.006	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae			100	0	0	3824771	235853	49.1	90.03	3638
MTS-001	MTS-001_bin.4	MTS-001_bin.4	MTS-001_bin.004	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter oryzae	97.62	0.4	0	5891481	192853	44.3	87.99	5074
MTS-001	MTS-001_bin.5	MTS-001_bin.5	MTS-001_bin.005	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea sp011752625	100	1.55	0	6025599	275507	52.8	88.07	5560
MTS-001	MTS-001_bin.6	MTS-001_bin.6	MTS-001_bin.006	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum		99.82	1.29	0	6377155	296184	56.4	88.72	5610
MTS-001	MTS-001_bin.7	MTS-001_bin.7	MTS-001_bin.007	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum		99.95	0.6	0	5673370	199004	62.1	88.02	5070
MTS-001	MTS-001_bin.8	MTS-010_bin.15	MTS-010_bin.015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium		97.74	1.49	37.5	5646106	86600	55.2	88.97	5400
MTS-001	MTS-001_bin.9	MTS-001_bin.9	MTS-001_bin.009	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea		99.55	0.96	20	6402802	69529	63.5	88.08	5703
MTS-010	MTS-010_bin.1	MTS-010_bin.1	MTS-010_bin.001	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae			99.57	0.85	0	4573844	75658	52.1	85.31	4255
MTS-010	MTS-010_bin.10	MTS-010_bin.10	MTS-010_bin.010	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phreatobacteraceae			82.3	0.98	0	3278745	10032	59.7	90.8	3602
MTS-010	MTS-010_bin.11	MTS-010_bin.11	MTS-010_bin.011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium		96.14	1.99	23.08	6292370	31076	60.5	87.24	6284
MTS-010	MTS-010_bin.12	MTS-010_bin.12	MTS-010_bin.012	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		98.9	0.74	0	3592561	185738	58.6	88.84	3388
MTS-010	MTS-010_bin.13	MTS-001_bin.11	MTS-001_bin.011	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			99.38	0	0	3933477	356380	62.7	91.49	3595
